AnimalGender,Borough,LicenseIssuedDate,LicenseExpiredDate,Latitude,Longitude
F,Manhattan,11/15/2014,11/15/2019,40.741012,-74.00012
F,Manhattan,11/15/2014,07/30/2018,40.76842,-73.96045
M,Manhattan,11/15/2014,11/15/2016,40.840686,-73.94154
F,Staten Island,11/15/2014,11/15/2019,40.599021,-74.07503
M,Manhattan,11/15/2014,11/15/2016,40.72596,-73.99834
M,Manhattan,11/15/2014,03/07/2016,40.791586,-73.94575
M,Manhattan,11/15/2014,11/15/2019,40.720666,-74.00526
F,Staten Island,11/15/2014,11/15/2019,40.606337,-74.14513
F,Manhattan,11/15/2014,11/15/2019,40.867653,-73.92
F,Manhattan,11/15/2014,07/10/2016,40.71704,-73.987
M,Staten Island,11/15/2014,11/15/2018,40.599021,-74.07503
M,Manhattan,11/15/2014,11/15/2017,40.720666,-74.00526
F,Manhattan,11/15/2014,11/15/2017,40.840686,-73.94154
M,Manhattan,11/15/2014,12/06/2016,40.848764,-73.93496
F,Staten Island,11/16/2014,11/16/2018,40.529749,-74.21304
M,Bronx,11/16/2014,11/16/2016,40.853017,-73.91214
M,Staten Island,11/17/2014,11/03/2019,40.606337,-74.14513
M,Manhattan,11/17/2014,11/17/2019,40.759511,-73.99019
